Producto,Tipo de Atributo,Frecuencia
Blurring Serum Liquid Blush,NGRAM_ATTRIBUTE,2
Blurring Serum Liquid Blush,GLOSSY_FINISH,1
Blurring Serum Liquid Blush,OIL_CONTROL,1
Blurring Serum Liquid Blush,PORE_MINIMIZING,1
Blush Filter Soft Glow Liquid Blush,NGRAM_ATTRIBUTE,11
Blush Filter Soft Glow Liquid Blush,GLOSSY_FINISH,4
Blush Filter Soft Glow Liquid Blush,INDUSTRY_TERM,2
Blush Filter Soft Glow Liquid Blush,FORMULA,1
Blush Filter Soft Glow Liquid Blush,OIL_CONTROL,1
Blush Filter Soft Glow Liquid Blush,PORE_MINIMIZING,1
Bombshell Lip Liner and Liquid Lipstick Set,NGRAM_ATTRIBUTE,17
Born This Way Ethereal Light Illuminating Smoothing Concealer (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Ethereal Light Illuminating Smoothing Concealer (Too Faced),GLOWY_FINISH,1
Born This Way Ethereal Setting Powder,NGRAM_ATTRIBUTE,2
Born This Way Ethereal Setting Powder,GLOSSY_FINISH,1
Born This Way Ethereal Setting Powder,OIL_CONTROL,1
Born This Way Ethereal Setting Powder,PORE_MINIMIZING,1
Born This Way Ethereal Setting Powder (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Ethereal Setting Powder (Too Faced),GLOWY_FINISH,1
Born This Way Natural Finish Longwear Liquid Foundation (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Natural Finish Longwear Liquid Foundation (Too Faced),GLOWY_FINISH,1
Born This Way Soft Blur Flexible Finish Setting Powder (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Soft Blur Flexible Finish Setting Powder (Too Faced),GLOWY_FINISH,1
Born This Way Soft Matte Foundation (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Soft Matte Foundation (Too Faced),GLOWY_FINISH,1
Born This Way Super Coverage Multi-Use Concealer (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way Super Coverage Multi-Use Concealer (Too Faced),GLOWY_FINISH,1
Born This Way The Natural Nudes Eyeshadow Palette (Too Faced),NGRAM_ATTRIBUTE,5
Born This Way The Natural Nudes Eyeshadow Palette (Too Faced),GLOWY_FINISH,1
Bronze & Highlight Powder Contour Kit,NGRAM_ATTRIBUTE,2
